 População Residente - Estimativas para o TCU - Brasil
População estimada por Município e Ano
Período:2010-2021
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"110001 ALTA FLORESTA D'OESTE";24422;24228;24069;25728;25652;25578;25506;25437;23167;22945;22728;22516
"110002 ARIQUEMES";90354;91570;92747;101269;102860;104401;105896;107345;106168;107863;109523;111148
"110003 CABIXI";6309;6221;6132;6495;6424;6355;6289;6224;5438;5312;5188;5067
"110004 CACOAL";78601;78959;79330;85863;86556;87226;87877;88507;84813;85359;85893;86416
"110005 CEREJEIRAS";17030;16939;16852;18041;18013;17986;17959;17934;16444;16323;16204;16088
"110006 COLORADO DO OESTE";18602;18338;18093;19190;19001;18817;18639;18467;16227;15882;15544;15213
"110007 CORUMBIARA";8802;8655;8530;9036;8938;8842;8749;8659;7567;7391;7220;7052
"110008 COSTA MARQUES";13700;14023;14355;15853;16258;16651;17031;17400;17855;18331;18798;19255
"110009 ESPIGAO D'OESTE";28741;28963;29189;31699;32047;32385;32712;33030;32047;32374;32695;33009
"110010 GUAJARA-MIRIM";41646;41934;42202;45761;46203;46632;47048;47451;45783;46174;46556;46930
"110011 JARU";52043;51883;51765;55597;55669;55738;55806;55871;51933;51775;51620;51469
"110012 JI-PARANA";116587;117363;118092;128026;129242;130419;131560;132667;127907;128969;130009;131026
"110013 MACHADINHO D'OESTE";31107;31780;32403;35633;36412;37167;37899;38609;39097;39991;40867;41724
"110014 NOVA BRASILANDIA D'OESTE";19845;19883;19891;21427;21511;21592;21670;21747;20459;20474;20489;20504
"110015 OURO PRETO DO OESTE";37941;37702;37482;40099;40010;39924;39840;39759;36340;36035;35737;35445
"110018 PIMENTA BUENO";33754;33981;34135;36939;37230;37512;37786;38051;36434;36660;36881;37098
"110020 PORTO VELHO";426558;435732;442701;484992;494013;502748;511219;519436;519531;529544;539354;548952
"110025 PRESIDENTE MEDICI";22319;22009;21709;23017;22783;22557;22337;22124;19409;18986;18571;18165
"110026 RIO CRESPO";3316;3346;3374;3666;3709;3750;3790;3829;3723;3764;3804;3843
"110028 ROLIM DE MOURA";50672;50899;51142;55357;55807;56242;56664;57074;54702;55058;55407;55748
"110029 SANTA LUZIA D'OESTE";8886;8678;8476;8887;8706;8532;8362;8198;6781;6495;6216;5942
"110030 VILHENA";76187;77937;79616;87727;89797;91801;93745;95630;97448;99854;102211;104517
"110032 SAO MIGUEL DO GUAPORE";21824;21879;21927;23668;23803;23933;24059;24181;22931;23005;23077;23147
"110033 NOVA MAMORE";22552;23143;23719;26227;26925;27600;28255;28891;29757;30583;31392;32184
"110034 ALVORADA D'OESTE";16864;16625;16404;17399;17228;17063;16902;16747;14722;14411;14106;13807
"110037 ALTO ALEGRE DOS PARECIS";12826;12825;12833;13827;13884;13940;13993;14045;13227;13241;13255;13268
"110040 ALTO PARAISO";17144;17444;17742;19459;19841;20210;20569;20916;20999;21428;21847;22258
"110045 BURITIS";32385;32899;33397;36555;37207;37838;38450;39044;38937;39654;40356;41043
"110050 NOVO HORIZONTE DO OESTE";10237;10084;9933;10515;10393;10276;10161;10051;8751;8538;8329;8125
"110060 CACAULANDIA";5727;5764;5791;6268;6318;6367;6414;6460;6190;6230;6269;6307
"110070 CAMPO NOVO DE RONDONIA";12669;12758;12847;13939;14081;14220;14354;14484;14009;14139;14266;14391
"110080 CANDEIAS DO JAMARI";19782;20292;20787;22973;23573;24155;24719;25266;25983;26693;27388;28068
"110090 CASTANHEIRAS";3581;3527;3479;3689;3653;3617;3583;3550;3119;3052;2987;2923
"110092 CHUPINGUAIA";8304;8515;8721;9636;9887;10129;10364;10593;10886;11182;11472;11755
"110094 CUJUBIM";15873;16570;17262;19410;20204;20974;21720;22443;24226;25215;26183;27131
"110100 GOVERNADOR JORGE TEIXEIRA";10513;10272;10040;10534;10327;10127;9933;9745;8095;7767;7445;7130
"110110 ITAPUA DO OESTE";8561;8700;8830;9661;9831;9995;10155;10310;10272;10458;10641;10819
"110120 MINISTRO ANDREAZZA";10354;10277;10203;10899;10860;10823;10786;10751;9762;9660;9559;9461
"110130 MIRANTE DA SERRA";11869;11781;11686;12469;12414;12360;12308;12258;11080;10947;10818;10691
"110140 MONTE NEGRO";14090;14204;14313;15541;15710;15873;16032;16186;15695;15852;16007;16158
"110143 NOVA UNIAO";7498;7437;7382;7883;7853;7824;7796;7769;7047;6970;6895;6822
"110145 PARECIS";4810;4902;4990;5477;5589;5697;5802;5904;5947;6074;6198;6319
"110146 PIMENTEIRAS DO OESTE";2322;2299;2283;2440;2432;2424;2417;2410;2191;2169;2148;2127
"110147 PRIMAVERA DE RONDONIA";3523;3464;3406;3597;3548;3501;3456;3411;2939;2856;2776;2697
"110148 SAO FELIPE D'OESTE";6018;5939;5862;6219;6160;6103;6048;5994;5280;5172;5066;4962
"110149 SAO FRANCISCO DO GUAPORE";16019;16341;16636;18265;18640;19002;19353;19694;19842;20266;20681;21088
"110150 SERINGUEIRAS";11649;11624;11619;12505;12543;12581;12617;12653;11860;11856;11851;11846
"110155 TEIXEIROPOLIS";4893;4832;4778;5080;5041;5003;4966;4931;4384;4308;4233;4160
"110160 THEOBROMA";10644;10612;10575;11343;11345;11347;11348;11350;10494;10444;10395;10348
"110170 URUPA";12969;12828;12687;13491;13391;13293;13198;13106;11665;11467;11272;11081
"110175 VALE DO ANARI";9361;9511;9633;10518;10682;10843;10999;11149;11028;11204;11377;11545
"110180 VALE DO PARAISO";8218;8084;7961;8425;8327;8231;8138;8047;6998;6825;6656;6490
"120001 ACRELANDIA";12538;12779;13011;13353;13613;13869;14120;14366;15020;15256;15490;15721
"120005 ASSIS BRASIL";6075;6192;6308;6480;6610;6738;6863;6986;7300;7417;7534;7649
"120010 BRASILEIA";21438;21837;22261;22899;23378;23849;24311;24765;25848;26278;26702;27123
"120013 BUJARI";8474;8629;8782;9003;9173;9339;9503;9664;10111;10266;10420;10572
"120017 CAPIXABA";8810;9088;9368;9836;10170;10498;10820;11136;11456;11733;12008;12280
"120020 CRUZEIRO DO SUL";78444;79174;79819;80377;80953;81519;82075;82622;87673;88376;89072;89760
"120025 EPITACIOLANDIA";15126;15394;15679;16099;16417;16731;17038;17340;18122;18411;18696;18979
"120030 FEIJO";32311;32487;32560;32411;32398;32385;32372;32360;34675;34780;34884;34986
"120032 JORDAO";6531;6740;6898;7147;7330;7509;7685;7858;8159;8317;8473;8628
"120033 MANCIO LIMA";15246;15554;15890;16410;16795;17173;17545;17910;18638;18977;19311;19643
"120034 MANOEL URBANO";7989;8105;8224;8386;8514;8641;8765;8886;9336;9459;9581;9701
"120035 MARECHAL THAUMATURGO";14200;14683;15123;15857;16380;16895;17401;17897;18430;18867;19299;19727
"120038 PLACIDO DE CASTRO";17203;17401;17587;17795;17979;18159;18336;18510;19565;19761;19955;20147
"120039 PORTO WALTER";9172;9448;9711;10143;10453;10759;11059;11353;11720;11982;12241;12497
"120040 RIO BRANCO";335796;342299;348354;357194;363928;370550;377057;383443;401155;407319;413418;419452
"120042 RODRIGUES ALVES";14334;14832;15260;15968;16475;16974;17464;17945;18504;18930;19351;19767
"120043 SANTA ROSA DO PURUS";4612;4879;5061;5374;5593;5809;6021;6230;6362;6540;6717;6893
"120045 SENADOR GUIOMARD";20153;20387;20588;20799;20992;21182;21369;21552;22810;23024;23236;23446
"120050 SENA MADUREIRA";37993;38709;39366;40311;41036;41750;42451;43139;45177;45848;46511;47168
"120060 TARAUACA";35526;36186;36763;37571;38201;38819;39427;40024;41976;42567;43151;43730
"120070 XAPURI";16016;16370;16639;17021;17317;17608;17894;18174;19048;19323;19596;19866
"120080 PORTO ACRE";14806;15213;15534;16029;16396;16757;17111;17459;18180;18504;18824;19141
"130002 ALVARAES";14080;14237;14381;15166;15357;15545;15729;15908;15860;16041;16220;16396
"130006 AMATURA";9657;9633;9794;10436;10644;10847;11047;11242;11332;11536;11736;11934
"130008 ANAMA";10193;10495;10766;11636;11981;12320;12653;12978;13269;13614;13956;14292
"130010 ANORI";16289;16701;17072;18351;18826;19292;19749;20196;20538;21010;21477;21937
"130014 APUI";18059;18326;18633;19860;20258;20648;21031;21406;21583;21973;22359;22739
"130020 ATALAIA DO NORTE";15149;15545;15924;17174;17658;18133;18599;19054;19438;19921;20398;20868
"130030 AUTAZES";31876;32733;33312;35554;36301;37033;37752;38454;38830;39565;40290;41005
"130040 BARCELOS";25715;25835;25948;27110;27273;27433;27589;27743;27364;27502;27638;27772
"130050 BARREIRINHA";27361;27722;28077;29737;30202;30658;31105;31542;31593;32041;32483;32919
"130060 BENJAMIN CONSTANT";33391;34194;34950;37564;38533;39484;40417;41329;42020;42984;43935;44873
"130063 BERURI";15500;15828;16158;17332;17755;18171;18579;18978;19258;19679;20093;20503
"130068 BOA VISTA DO RAMOS";14921;15325;15659;16820;17248;17668;18080;18483;18781;19207;19626;20040
"130070 BOCA DO ACRE";29880;30906;31171;32792;33148;33498;33840;34176;33976;34308;34635;34958
"130080 BORBA";34452;35448;35919;38073;38688;39292;39885;40464;40565;41161;41748;42328
"130083 CAAPIRANGA";10909;11142;11303;12004;12214;12420;12622;12820;12877;13081;13283;13482
"130090 CANUTAMA";12727;13843;13986;14754;14944;15130;15312;15490;15450;15629;15807;15981
"130100 CARAUARI";25700;25955;26130;27405;27645;27880;28111;28337;28076;28294;28508;28719
"130110 CAREIRO";32631;33132;33517;35431;35938;36435;36922;37399;37384;37869;38348;38820
"130115 CAREIRO DA VARZEA";23963;24442;24937;26722;27357;27981;28592;29190;29595;30225;30846;31459
"130120 COARI";75909;76646;77305;81325;82209;83078;83929;84762;84272;85097;85910;86713
"130130 CODAJAS";23119;23644;24067;25696;26242;26777;27303;27817;28100;28637;29168;29691
"130140 EIRUNEPE";30666;31020;31364;33127;33580;34025;34461;34888;34840;35273;35700;36121
"130150 ENVIRA";16328;16635;16923;18051;18422;18786;19143;19492;19668;20033;20393;20748
"130160 FONTE BOA";22659;23011;23198;21859;21295;20742;20199;19669;18221;17609;17005;16409
"130165 GUAJARA";14074;14189;14396;15291;15561;15826;16085;16339;16416;16678;16937;17193
"130170 HUMAITA";44116;45105;45954;49137;50230;51302;52354;53383;54001;55080;56144;57195
"130180 IPIXUNA";22199;22867;23460;25362;26118;26860;27587;28299;28933;29689;30436;31172
"130185 IRANDUBA";40735;41374;41947;44503;45250;45984;46703;47407;47571;48296;49011;49718
"130190 ITACOATIARA";86840;87970;89064;94278;95714;97122;98503;99854;99955;101337;102701;104046
"130195 ITAMARATI";8040;8010;7983;8232;8205;8179;8153;8128;7888;7851;7814;7777
"130200 ITAPIRANGA";8200;8281;8348;8774;8864;8953;9040;9125;9064;9148;9230;9312
"130210 JAPURA";7289;7388;7448;6083;5599;5125;4660;4205;3265;2755;2251;1755
"130220 JURUA";10822;11126;11439;12408;12807;13198;13581;13956;14312;14712;15106;15495
"130230 JUTAI";17964;18145;18293;17376;16977;16585;16200;15824;14753;14317;13886;13462
"130240 LABREA";37574;38373;39022;41600;42439;43263;44071;44861;45245;46069;46882;47685
"130250 MANACAPURU";85144;86078;86985;91795;92996;94175;95330;96460;96236;97377;98502;99613
"130255 MANAQUIRI";22807;23576;24325;26530;27480;28413;29327;30222;31147;32105;33049;33981
"130260 MANAUS";1802525;1832424;1861838;1982177;2020301;2057711;2094391;2130264;2145444;2182763;2219580;2255903
"130270 MANICORE";47011;47707;48373;51331;52200;53053;53890;54708;54907;55751;56583;57405
"130280 MARAA";17364;17563;17596;18310;18367;18423;18477;18531;18186;18224;18261;18298
"130290 MAUES";51847;53173;54079;57663;58834;59983;61110;62212;62755;63905;65040;66159
"130300 NHAMUNDA";18278;18503;18720;19792;20078;20358;20633;20902;20899;21173;21443;21710
"130310 NOVA OLINDA DO NORTE";30761;31232;31749;33829;34498;35156;35800;36431;36721;37378;38026;38665
"130320 NOVO AIRAO";14780;15113;15489;16719;17199;17671;18133;18586;18974;19454;19928;20395
"130330 NOVO ARIPUANA";21389;21784;22106;23486;23905;24315;24718;25112;25237;25644;26046;26443
